PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE	OCLC_NUMBER
A Bibliography of Electronic Music		9781442653351							https://www.degruyter.com/openurl?genre=book&isbn=9781442653351		9781442653351		fulltext		University of Toronto Press	monograph	1967	2017						P	992489840
A Brief History of the Masses		9780231517928							https://www.degruyter.com/openurl?genre=book&isbn=9780231517928	Jonsson	9780231517928		fulltext		Columbia University Press	monograph	2008	2008						P	979720513
A Celebration of Ben Jonson		9781442632165							https://www.degruyter.com/openurl?genre=book&isbn=9781442632165		9781442632165		fulltext		University of Toronto Press	monograph	1973	2016			Blissett			P	999373717
A Certain Tendency of the Hollywood Cinema, 1930-1980		9780691216164							https://www.degruyter.com/openurl?genre=book&isbn=9780691216164	Ray	9780691216164		fulltext		Princeton University Press	monograph	1985	2021						P	
A Company of Actors	9780231900560	9780231876834							https://www.degruyter.com/openurl?genre=book&isbn=9780231876834		9780231876834		fulltext		Columbia University Press	monograph	1926	1926						P	1100430149
A Dream of Resistance		9780813592398							https://www.degruyter.com/openurl?genre=book&isbn=9780813592398	Prince	9780813592398		fulltext		Rutgers University Press	monograph	2017	2017						P	1075397874
A History of Art History		9780691194318							https://www.degruyter.com/openurl?genre=book&isbn=9780691194318	Wood	9780691194318		fulltext		Princeton University Press	monograph	2019	2019						P	1108619501
A History of Horror		9780813550398							https://www.degruyter.com/openurl?genre=book&isbn=9780813550398	Dixon	9780813550398		fulltext		Rutgers University Press	monograph	2010	2010						P	769927210
A Little Solitaire		9780813550985							https://www.degruyter.com/openurl?genre=book&isbn=9780813550985		9780813550985		fulltext		Rutgers University Press	monograph	2011	2011						P	775872933
A Measured Pace		9781442677159							https://www.degruyter.com/openurl?genre=book&isbn=9781442677159	Sparshott	9781442677159		fulltext		University of Toronto Press	monograph	1995	2016						P	999354807
A Musical View of the Universe		9781512819656							https://www.degruyter.com/openurl?genre=book&isbn=9781512819656	Basso	9781512819656		fulltext		University of Pennsylvania Press	monograph	1985	1985						P	1054881849
A Piece of the Action		9780231551014							https://www.degruyter.com/openurl?genre=book&isbn=9780231551014	Quinn	9780231551014		fulltext		Columbia University Press	monograph	2019	2019						P	1135443450
A Pioneer Songster		9781501717543							https://www.degruyter.com/openurl?genre=book&isbn=9781501717543		9781501717543		fulltext		Cornell University Press	monograph	2018	2018			Cutting			P	1037272657
A Revolution for the Screen		9789048524877							https://www.degruyter.com/openurl?genre=book&isbn=9789048524877	Cuff	9789048524877		fulltext		Amsterdam University Press	monograph	2015	2015						P	916529112
A Saving Science		9780271078274							https://www.degruyter.com/openurl?genre=book&isbn=9780271078274	Ramírez-Weaver	9780271078274		fulltext		Penn State University Press	monograph	2017	2021						P	
A Search for Belonging		9780231851091							https://www.degruyter.com/openurl?genre=book&isbn=9780231851091	Ripley	9780231851091		fulltext		Columbia University Press	monograph	2017	2018						P	1059148501
A Season of Opera		9781442670471							https://www.degruyter.com/openurl?genre=book&isbn=9781442670471	Lee	9781442670471		fulltext		University of Toronto Press	monograph	2000	2016						P	999354754
A Short History of Film, Third Edition		9780813595160							https://www.degruyter.com/openurl?genre=book&isbn=9780813595160	Foster	9780813595160		fulltext		Rutgers University Press	monograph	2018	2018						P	1121054726
A Short History of Opera		9780231507721							https://www.degruyter.com/openurl?genre=book&isbn=9780231507721	Williams	9780231507721		fulltext		Columbia University Press	monograph	2003	2003		fourth edition				P	704692527
A Sisterhood of Sculptors		9780271064673							https://www.degruyter.com/openurl?genre=book&isbn=9780271064673	Dabakis	9780271064673		fulltext		Penn State University Press	monograph	2014	2021						P	1253313694
