PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONLINE	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE
Altorientalische Forschungen	0232-8461	2196-6761	1995-06-15	22	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-6761		2196-6761		fulltext		De Gruyter (A)	serial								P
Analysis of Current Trends in Antisemitism - ACTA		2568-9347	2018-03-20	39	1				https://www.degruyter.com/openurl?genre=journal&issn=2568-9347		2568-9347		fulltext		De Gruyter Oldenbourg	serial								F
Antike und Abendland	0003-5696	1613-0421	1995-09-14		1				https://www.degruyter.com/openurl?genre=journal&issn=1613-0421		1613-0421		fulltext		De Gruyter	serial								P
Architectura	0044-863X	2569-1554	2016-05-20	46	1				https://www.degruyter.com/openurl?genre=journal&issn=2569-1554		2569-1554		fulltext		Deutscher Kunstverlag (DKV)	serial								P
Archiv für Papyrusforschung und verwandte Gebiete	0066-6459	1867-1551	1995-01-01	41	1				https://www.degruyter.com/openurl?genre=journal&issn=1867-1551		1867-1551		fulltext		De Gruyter	serial								P
Archiv für Religionsgeschichte	1436-3038	1868-8888	1999-01-01		1				https://www.degruyter.com/openurl?genre=journal&issn=1868-8888		1868-8888		fulltext		De Gruyter	serial								P
Asiatische Studien - Études Asiatiques	0004-4717	2235-5871	2014-02-28	68	1				https://www.degruyter.com/openurl?genre=journal&issn=2235-5871		2235-5871		fulltext		De Gruyter	serial								P
Byzantinische Zeitschrift	0007-7704	1868-9027	1995-01-01	88	1				https://www.degruyter.com/openurl?genre=journal&issn=1868-9027		1868-9027		fulltext		De Gruyter	serial								P
Chinese Archaeology	2160-5025	2160-5068	2001-10-10		1				https://www.degruyter.com/openurl?genre=journal&issn=2160-5068		2160-5068		fulltext		De Gruyter	serial								P
Das Mittelalter	0949-0345	2196-6869	1996-06-15	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-6869		2196-6869		fulltext		Akademie Verlag	serial								P
Elenchos	0392-7342	2037-7177	2005-08-20	26	1				https://www.degruyter.com/openurl?genre=journal&issn=2037-7177		2037-7177		fulltext		De Gruyter	serial								P
Etruscan and Italic Studies	2566-9095	2566-9109	1995-06-20		2				https://www.degruyter.com/openurl?genre=journal&issn=2566-9109		2566-9109		fulltext		De Gruyter	serial								P
Historische Zeitschrift	0018-2613	2196-680X	1995-06-20	260-261	260				https://www.degruyter.com/openurl?genre=journal&issn=2196-680X		2196-680X		fulltext		De Gruyter Oldenbourg	serial								P
International Public History		2567-1111	2018-06-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2567-1111		2567-1111		fulltext		De Gruyter Oldenbourg	serial								P
Jahrbuch für die Geschichte Mittel- und Ostdeutschlands	0075-2614	2191-9909	2009-01-01		1				https://www.degruyter.com/openurl?genre=journal&issn=2191-9909		2191-9909		fulltext		De Gruyter	serial								P
Jahrbuch für Wirtschaftsgeschichte / Economic History Yearbook	0075-2800	2196-6842	1995-06-20	36	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-6842		2196-6842		fulltext		Akademie Verlag	serial								P
Journal of Ancient History	2324-8106	2324-8114	2013-05-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2324-8114		2324-8114		fulltext		De Gruyter	serial								P
Journal of Ancient Near Eastern History	2328-9554	2328-9562	2014-02-28	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2328-9562		2328-9562		fulltext		De Gruyter	serial								P
Kadmos	0022-7498	1613-0723	1995-01-01	34	1				https://www.degruyter.com/openurl?genre=journal&issn=1613-0723		1613-0723		fulltext		De Gruyter	serial								P
Klio	0075-6334	2192-7669	1995-06-20		77				https://www.degruyter.com/openurl?genre=journal&issn=2192-7669		2192-7669		fulltext		De Gruyter (A)	serial								P
Militärgeschichtliche Zeitschrift	2193-2336	2196-6850	1995-06-20	54	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-6850		2196-6850		fulltext		Oldenbourg Wissenschaftsverlag	serial								P
Millennium	1867-030X	1867-0318	2004-01-01	1	1				https://www.degruyter.com/openurl?genre=journal&issn=1867-0318		1867-0318		fulltext		De Gruyter	serial								P
Orientalistische Literaturzeitung	0030-5383	2196-6877	1995-04-20	90	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-6877		2196-6877		fulltext		De Gruyter (A)	serial								P
