publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
ABI Technik	0720-6763	2191-4664	1996-03-01	16	März	2014-12-20	34	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2191-4664		2191-4664		fulltext		De Gruyter	serial								P	JALIS14	current	2022-03-04
Bibliothek Forschung und Praxis	0341-4183	1865-7648	1977-01-01	1	1	2014-12-15	38	3	https://www.degruyter.com/openurl?genre=journal&issn=1865-7648		1865-7648		fulltext		De Gruyter	serial								F	JALIS14	current	2022-03-04
Bibliotheksdienst	0006-1972	2194-9646	1697-09-01	1	6	2014-11-26	48	12	https://www.degruyter.com/openurl?genre=journal&issn=2194-9646		2194-9646		fulltext		De Gruyter Saur	serial								P	JALIS14	current	2022-03-04
Information - Wissenschaft & Praxis	1434-4653	1619-4292	2012-02-20	63	1	2014-11-28	65	6	https://www.degruyter.com/openurl?genre=journal&issn=1619-4292		1619-4292		fulltext		De Gruyter Saur	serial								P	JALIS14	current	2022-03-04
International African Bibliography	0020-5877	1865-9640	1971-01-01	1	1	2014-12-30	44	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1865-9640		1865-9640		fulltext		De Gruyter	serial								P	JALIS14	current	2020-07-17
Libri	0024-2667	1865-8423	1950-01-01	1	1	2014-12-20	64	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-8423		1865-8423		fulltext		De Gruyter Saur	serial								P	JALIS14	current	2022-03-04
PIK - Praxis der Informationsverarbeitung und Kommunikation	0930-5157	1865-8342	1978-01-01	1	1	2014-12-20	37	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-8342		1865-8342		fulltext		De Gruyter	serial								P	JALIS14	current	2020-07-17
Preservation, Digital Technology & Culture (PDT&C)	2195-2957	2195-2965	2013-03-26	42	1	2014-10-30	43	4	https://www.degruyter.com/openurl?genre=journal&issn=2195-2965		2195-2965		fulltext		De Gruyter Saur	serial								P	JALIS14	current	2022-03-04
Quellen und Forschungen aus italienischen Archiven und Bibliotheken	0079-9068	1865-8865	2008-01-01	88	1	2014-11-15		94	https://www.degruyter.com/openurl?genre=journal&issn=1865-8865		1865-8865		fulltext		De Gruyter	yearbook								P	JALIS14	current	2022-03-04
Restaurator. International Journal for the Preservation of Library and Archival Material	0034-5806	1865-8431	1970-01-01	1	1	2014-09-20	35	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1865-8431		1865-8431		fulltext		De Gruyter	serial								P	JALIS14	current	2022-03-04
The African Book Publishing Record	0306-0322	1865-8717	1975-01-01	1	1	2014-12-15	40	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-8717		1865-8717		fulltext		De Gruyter Saur	serial								P	JALIS14	current	2022-03-04
