publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_id	status	last_changed
ABI Technik	0720-6763	2191-4664	1996-03-01	16	März				https://www.degruyter.com/openurl?genre=journal&issn=2191-4664		2191-4664		fulltext		De Gruyter	serial								P	HSSTEM22	current	2022-04-05
at - Automatisierungstechnik	0178-2312	2196-677X	1995-01-15	43	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-677X		2196-677X		fulltext		Oldenbourg Wissenschaftsverlag	serial								P	HSSTEM22	current	2022-04-05
Biological Chemistry	1431-6730	1437-4315	1995-01-01	380	1				https://www.degruyter.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext		De Gruyter	serial								P	HSSTEM22	current	2022-04-05
Biomedical Engineering / Biomedizinische Technik 	0013-5585	1862-278X	1995-01-01	40	1				https://www.degruyter.com/openurl?genre=journal&issn=1862-278X		1862-278X		fulltext		De Gruyter	serial								P	HSSTEM22	current	2022-04-05
Computer und Recht	0179-1990	2194-4172	2005-01-15	21	1				https://www.degruyter.com/openurl?genre=journal&issn=2194-4172		2194-4172		fulltext		Verlag Dr. Otto Schmidt	serial								P	HSSTEM22	current	2022-04-05
Die Aktiengesellschaft	0002-3752	2366-097X	2017-01-09	62	1-2				https://www.degruyter.com/openurl?genre=journal&issn=2366-097X		2366-097X		fulltext		Verlag Dr. Otto Schmidt	serial								P	HSSTEM22	current	2022-04-05
GesundheitsRecht	1610-1197	2194-4229	2005-01-15	2	1				https://www.degruyter.com/openurl?genre=journal&issn=2194-4229		2194-4229		fulltext		Verlag Dr. Otto Schmidt	serial								P	HSSTEM22	current	2022-04-05
HTM Journal of Heat Treatment and Materials	1867-2493	2194-1831	1996-01-20	51	1				https://www.degruyter.com/openurl?genre=journal&issn=2194-1831		2194-1831		fulltext		De Gruyter	serial								P	HSSTEM22	current	2022-04-05
i-com	1618-162X	2196-6826	2001-08-20		O				https://www.degruyter.com/openurl?genre=journal&issn=2196-6826		2196-6826		fulltext		Oldenbourg Wissenschaftsverlag	serial								P	HSSTEM22	current	2022-04-05
it - Information Technology	1611-2776	2196-7032	1995-01-20	37	1				https://www.degruyter.com/openurl?genre=journal&issn=2196-7032		2196-7032		fulltext		De Gruyter Oldenbourg	serial								P	HSSTEM22	current	2022-04-05
Materials Testing	0025-5300	2195-8572	1995-01-20	37	1-2				https://www.degruyter.com/openurl?genre=journal&issn=2195-8572		2195-8572		fulltext		De Gruyter	serial								P	HSSTEM22	current	2022-04-05
Monatsschrift für Deutsches Recht	0340-1812	2194-4202	2005-01-05	59	1				https://www.degruyter.com/openurl?genre=journal&issn=2194-4202		2194-4202		fulltext		Verlag Dr. Otto Schmidt	serial								P	HSSTEM22	current	2022-04-05
Monatsschrift für Kriminologie und Strafrechtsreform	0026-9301	2366-1968	2000-02-20	83	1				https://www.degruyter.com/openurl?genre=journal&issn=2366-1968		2366-1968		fulltext		De Gruyter	serial								P	HSSTEM22	current	2022-04-05
Public Health Forum	0944-5587	1876-4851	1995-01-20	3	1				https://www.degruyter.com/openurl?genre=journal&issn=1876-4851		1876-4851		fulltext		De Gruyter	serial								P	HSSTEM22	current	2022-04-05
Sport und Gesellschaft	1610-3181	2366-0465	2004-05-20	1	1				https://www.degruyter.com/openurl?genre=journal&issn=2366-0465		2366-0465		fulltext		De Gruyter Oldenbourg	serial								P	HSSTEM22	current	2022-04-05
tm - Technisches Messen	0171-8096	2196-7113	1995-12-20		62				https://www.degruyter.com/openurl?genre=journal&issn=2196-7113		2196-7113		fulltext		Oldenbourg Wissenschaftsverlag	serial								P	HSSTEM22	current	2022-04-05
UbG - Die Unternehmensbesteuerung	1865-7222	2568-3071	2018-01-20	11	1				https://www.degruyter.com/openurl?genre=journal&issn=2568-3071		2568-3071		fulltext		Verlag Dr. Otto Schmidt	serial								P	HSSTEM22	current	2022-04-05
Zeitschrift für Konfliktmanagement	1439-2127	2194-4210	2005-02-15	8	1				https://www.degruyter.com/openurl?genre=journal&issn=2194-4210		2194-4210		fulltext		Verlag Dr. Otto Schmidt	serial								P	HSSTEM22	current	2022-04-05
Zeitschrift für Physikalische Chemie	0942-9352	2196-7156	1996-01-15	193	1-2				https://www.degruyter.com/openurl?genre=journal&issn=2196-7156		2196-7156		fulltext		Oldenbourg Wissenschaftsverlag	serial								P	HSSTEM22	current	2022-04-05
Zeitschrift für wirtschaftlichen Fabrikbetrieb	0947-0085	2511-0896	1995-01-20	90	1-2				https://www.degruyter.com/openurl?genre=journal&issn=2511-0896		2511-0896		fulltext		De Gruyter	serial								P	HSSTEM22	current	2022-04-05
